hex,reg_number,flag,lat,lng,alt,dir,speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
152005,RA-73733,RU,54.439248,29.11386,7586,50.5,844,1843,AFL1843,SU1843,UMMS,MSQ,UUEE,SVO,AFL,SU,A20N,1706705158,en-route
152018,RA-73752,RU,43.664001,42.945033,10345,272.6,818,1610,AFL1610,SU1610,UUEE,SVO,URSS,AER,AFL,SU,A320,1706705158,en-route
152034,RA-73780,RU,55.684633,45.197488,9583,275.9,750,1235,AFL1235,SU1235,UWUU,UFA,UUEE,SVO,AFL,SU,A320,1706705158,en-route
152035,RA-73781,RU,43.515928,45.724398,10322,277.4,819,2919,AFL2919,SU2919,USSS,SVX,URSS,AER,AFL,SU,A320,1706705158,en-route
152040,RA-73792,RU,44.255672,45.415674,9621,92.6,804,154,SVR154,U6154,URMM,MRV,UUDD,DME,SVR,U6,A321,1706705158,en-route
152048,RA-73800,RU,55.746294,19.914603,8501,338.8,681,628,SVR628,U6628,UMKK,KGD,UUDD,DME,SVR,U6,A21N,1706705158,en-route
152051,RA-73809,RU,54.148622,88.524239,10733,53.9,822,2930,SVR2930,U62930,UTDD,DYU,UNKL,KJA,SVR,U6,A320,1706705158,en-route
152061,RA-73825,RU,56.538105,60.618737,2402,68,501,299,SVR299,U6299,USSS,SVX,UHBB,BQS,SVR,U6,A320,1706705158,en-route
152065,RA-73829,RU,56.083599,44.008055,10771,250,753,268,SVR268,U6268,USSS,SVX,UUDD,DME,SVR,U6,A320,1706705158,en-route
152069,RA-73833,RU,59.798087,30.264846,0,101.3,4,571,SVR571,U6571,ULLI,LED,USSS,SVX,SVR,U6,A320,1706705158,scheduled
341682,EC-ILQ,ES,39.594017,1.371945,7327,276.6,840,3919,IBS3919,I23919,LEPA,PMI,LEMD,MAD,IBE,IB,A320,1706705158,en-route
342090,EC-ILR,ES,39.589081,-0.468787,10040,98.8,841,3972,IBS3972,I23972,LEMD,MAD,LEPA,PMI,IBE,IB,A320,1706705158,en-route
342091,EC-ILS,ES,43.019467,-2.444023,10939,232.6,841,3435,IBE3435,IB3435,LFPO,ORY,LEMD,MAD,IBE,IB,A320,1706705158,en-route
342104,EC-JFH,ES,35.93635,-8.750102,11259,45.6,819,3933,IBS3933,I23933,GCXO,TFN,LEMD,MAD,IBE,IB,A320,1706705158,en-route
342105,EC-JFG,ES,39.11817,0.890441,6336,293.8,725,3807,IBS3807,I23807,LEIB,IBZ,LEMD,MAD,IBE,IB,A320,1706705158,en-route
